銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,ネットキャッシュ,ネットキャッシュ比率
8306,三菱UFJフィナンシャル･G,"20,155,889",10.8,1.0,3.70,"11,890,350",,82.80,,,,"1,490,781",12.50,7.30,4.90,64.00,1312.4,1312.40,13.0,,"413,193,210",,"7,270,470",223.2,,,"1,221,936",,"264,535,135","264,535,135","21,622,461","20,381,805",,
8316,三井住友フィナンシャルG,"12,759,369",11.0,0.8,,"9,353,590",,6.90,,,,"962,946",10.30,6.40,4.90,65.90,1605.0,1605.00,13.5,,"310,852,859",,"5,649,617",220.5,,,"1,003,124",,"204,785,904","204,785,904","15,281,775","15,134,833",,
8766,東京海上HD,"10,925,165",10.9,2.2,2.90,"7,424,667",,14.40,,,,"695,808",9.40,14.10,16.20,0.70,2.1,2.10,0.0,,"30,519,366",,,,,,"427,177",,"224,578","224,578","4,943,749","4,943,504",,
9432,本電信電話,"12,561,557",11.4,1.2,3.40,"13,374,569",,17.80,,"1,922,910",14.40,"1,279,521",9.60,12.60,33.20,3.60,8.9,9.30,0.1,97.20,"30,603,365","1,198,183","4,988,338",136.1,"579,816",,"10,467,753","9,969,496","1,112,956","1,171,075","11,280,299","10,159,405","85,227",0.28
9433,KDDI,"10,308,298",14.9,2.0,2.80,"5,754,047",42.20,29.70,26.10,"961,584",16.70,"637,874",11.10,12.40,31.50,39.90,63.0,54.20,1.3,64.70,"16,284,389","866,243","2,880,295",182.7,"130,855",14.4,"2,866,271","3,138,097","6,492,647","5,591,718","5,679,867","5,137,371","5,626,404",34.55
9434,ソフトバンク,"10,366,519",20.3,3.9,,"6,084,002",48.20,20.40,34.20,"876,068",14.40,"489,074",8.00,18.50,16.20,38.10,60.0,39.10,2.3,75.30,"16,304,840","1,890,824","2,899,760",174.0,"201,369",23.3,"1,825,168","4,941,631","6,215,808","4,048,499","4,163,960","2,645,254","4,324,984",26.53
9983,ファーストリテイリング,"14,722,874",35.9,6.7,1.00,"3,103,836",53.90,21.00,38.30,"500,904",16.10,"371,999",12.00,16.90,58.90,12.90,3.3,8.10,0.2,267.90,"3,729,143","977,330","71,647",8.4,"459,460",117.2,"295,779","591,351","481,853","1,187,039","2,258,711","2,196,302","495,477",13.29
9984,ソフトバンクG,"10,671,518",,0.9,0.60,"6,756,500",52.40,3.70,44.10,,,"227,646",3.40,,26.00,42.60,187.7,130.40,1.6,76.50,"47,029,122","4,660,023","3,077,273",166.2,"208,375",23.7,"2,707,292","18,947,714","20,026,313","13,920,454","14,574,555","12,226,274","15,366,290",32.67
3382,セブン&アイ･HD,"5,773,502",22.6,1.4,2.20,"11,972,762",15.50,7.30,25.60,"420,991",3.50,"173,068",1.40,4.30,35.40,36.00,71.0,47.30,1.0,85.10,"11,386,111","1,368,663",,,"315,787",13.6,"4,981,298","3,852,050","4,098,791","2,730,128","4,217,445","4,030,211","2,730,128",23.98
4063,信越化学工業,"8,875,452",,1.9,,"2,561,249",38.40,34.40,9.40,"742,105",29.00,"534,021",20.90,11.50,82.60,0.30,0.2,20.20,0.0,597.60,"5,636,601","1,708,438",,,"769,967",178.2,"2,065,945","261,922","16,841","1,794,837","4,837,585","4,656,236","1,691,597",30.01
4502,武田薬品工業,"7,004,907",59.4,0.9,4.40,"4,263,762",66.50,16.80,24.70,"214,075",5.00,"144,067",3.40,1.90,49.10,63.20,136.3,128.70,1.3,131.30,"15,106,844","494,126","711,418",60.9,"1,246,427",318.9,"2,017,776","5,589,689","9,544,829","9,018,082","7,419,191","7,418,274","9,050,703",59.91
4568,第一三共,"6,910,350",23.0,4.3,2.10,"1,886,256",78.00,2.90,38.80,"331,925",17.60,"295,756",15.70,18.20,47.00,5.90,2.9,7.50,0.1,253.20,"3,456,119","639,838","619,101",119.8,"514,910",452.0,"498,517","1,078,670","202,265","518,463","1,623,416","1,623,416","437,573",12.66
4661,オリエンタルランド,"5,185,770",45.7,5.3,0.40,"679,374",40.20,28.80,14.90,"172,111",25.30,"124,160",18.30,12.70,67.90,18.50,5.1,3.80,0.3,222.70,"1,438,521","323,416","30,616",16.4,"27,597",24.8,"820,646","225,230","266,667","194,656","977,408","977,408","56,749",3.94
6201,豊田自動織機,"5,013,794",20.9,1.0,1.70,"4,084,984",23.30,4.20,17.70,"221,695",5.40,"262,312",6.40,5.30,52.20,31.50,59.1,51.30,0.6,191.70,"9,403,481","378,455","1,720,610",153.7,"619,804",72.2,"1,537,333","2,765,950","2,962,871","2,572,231","5,015,246","4,904,686","2,584,416",27.48
6367,ダイキン工業,"5,053,684",18.9,1.8,1.90,"4,395,317",34.30,9.10,25.40,"392,137",8.90,"260,311",5.90,9.20,53.60,17.30,18.1,0.30,0.3,182.90,"5,306,961","931,149",,,"1,108,855",140.3,"1,290,693","778,221","915,899","15,250","2,903,475","2,842,443","15,250",0.29
6503,三菱電機,"5,832,867",17.2,1.5,,"5,521,711",30.60,8.30,23.80,"391,850",7.10,"324,084",5.90,8.20,61.90,5.70,6.2,7.90,0.1,202.90,"6,375,680","757,331",,,"1,244,959",118.7,"958,458","452,285","360,661","462,380","4,076,366","3,949,678","396,670",6.22
6701,本電気,"23,288,923",,11.9,0.20,"3,423,431",31.00,10.10,22.70,"256,497",7.50,"175,183",5.10,9.00,45.20,21.40,4.0,1.40,0.5,136.20,"4,315,368","584,615","878,434",93.7,"184,779",28.5,"580,165","610,441","922,201","327,756","2,071,511","1,952,018","337,586",7.82
6702,富士通,"5,605,733",14.4,3.2,1.00,"3,550,116",32.90,8.60,25.00,"265,089",7.50,"219,807",6.20,12.60,49.80,,0.0,4.20,,156.60,"3,497,808","236,079",,,"205,900",31.5,"368,969","243,663",0,"236,079","1,902,067","1,740,965","236,079",6.75
6857,アドバンテスト,"4,649,577",26.0,9.2,,"779,707",57.10,36.70,25.10,"228,161",29.30,"161,177",20.70,31.80,59.30,10.90,2.0,3.60,0.2,193.80,"854,210","262,544","113,031",52.9,"209,707",228.7,"78,602","38,247","93,503","169,041","506,539","506,539","169,041",19.79
6902,デンソー,"5,369,803",10.4,1.1,3.40,"7,161,777",15.40,10.60,8.40,"518,953",7.20,"419,081",5.90,8.40,61.30,14.10,21.3,0.90,0.2,185.40,"8,125,000","986,531","1,242,986",63.3,"1,203,066",72.5,"2,009,710","826,744","1,146,404","47,159","5,188,918","4,978,266","159,873",1.97
7182,ゆうちょ銀行,"5,091,987",12.7,0.5,4.00,"2,651,706",,3.10,,,,"356,133",13.40,3.80,3.80,,0.0,0.00,,,"243,210,798",,"524,946",72.3,,,"194,584",,0,,"9,408,083","9,363,088",,
7267,本田技研工業,"6,884,589",7.2,0.5,4.60,"20,428,802",21.60,3.70,10.30,"1,381,977",6.80,"1,107,174",5.40,8.50,41.70,36.80,167.9,92.00,0.9,138.40,"31,374,150","4,961,025","1,026,082",18.3,"2,507,597",57.1,"3,195,253","9,187,588","11,558,842","6,334,303","13,371,117","13,067,738","6,597,817",21.03
7741,HOYA,"6,188,489",,6.4,,"866,032",,27.10,,,,"202,101",23.30,20.70,78.90,3.00,0.6,8.10,0.0,490.10,"1,234,278","533,967","177,145",74.7,"124,550",,"210,890","83,141","37,283","501,251","971,629","974,023","496,684",40.24
7751,キヤノン,"4,191,725",12.6,1.3,3.50,"4,509,821",47.50,13.50,30.20,"279,754",6.20,"160,025",3.50,5.00,54.70,17.40,24.4,7.80,0.3,134.00,"5,874,162","697,150","631,024",51.1,"872,825",134.6,"1,141,462","460,393","1,024,309","327,159","3,480,059","3,216,064","327,159",5.57
8031,三井物産,"7,996,228",10.4,1.1,4.10,"14,662,620",8.80,6.90,6.10,,,"900,342",6.10,11.90,44.90,24.10,50.6,26.70,0.5,155.60,"16,811,509","977,356","2,224,953",55.4,"960,459",,"2,469,558","5,394,692","4,047,663","2,131,198","7,762,632","7,546,615","3,070,307",18.26
8411,みずほフィナンシャルG,"8,658,828",10.6,0.8,3.80,"8,744,458",,21.60,,,,"678,993",7.80,6.50,3.70,65.80,2168.6,2168.60,17.9,,"285,391,446",,"4,037,975",168.5,,,"1,097,061",,"187,773,169","187,773,169","10,583,107","10,502,146",,
8630,SOMPOHD,"4,335,586",10.8,1.5,2.90,"4,933,646",,9.60,,,,"416,054",8.40,14.30,19.70,4.60,15.7,15.70,0.2,,"14,783,186",,,,,,"378,418",,"682,355","682,355","2,937,138","2,917,731",,
8725,MS&ADインシュアランスGHD,"4,943,025",7.8,1.2,4.50,"6,572,889",,8.40,,,,"369,266",5.60,8.80,15.80,2.20,11.9,11.90,0.1,,"26,509,876",,,,,,"455,671",,"590,100","590,100","4,250,978","4,201,291",,
1925,大和ハウス工業,"3,250,517",12.2,1.3,2.80,"5,202,919",19.10,5.80,10.60,"440,210",8.50,"298,752",5.70,11.90,36.20,36.30,77.7,64.60,1.0,212.10,"6,955,702","426,404",,,"2,381,061",206.4,"2,142,692","2,527,918","2,526,201","2,098,797","2,610,450","2,514,595","2,099,797",30.19
4543,テルモ,"4,175,497",33.5,3.0,0.90,"921,863",52.00,15.90,37.40,"140,096",15.20,"106,374",11.50,7.60,74.80,18.60,8.4,3.30,0.2,278.90,"1,877,627","212,556","186,043",73.7,"309,007",254.8,"430,529","210,213","349,642","136,650","1,403,566","1,403,566","137,086",7.30
