,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
75,8015,豊田通商,3107875,9.1,1.2,3.7,10309550.0,10.9,5.0,6.0,497174.0,4.8,362506.0,3.5,13.8,37.2,44.5,101.1,69.0,1.2,166.0,7057462.0,951884.0,1824946.0,64.6,1198196.0,47.6,1185061.0,1756575.0,3142445.0,2145718.0,2745843.0,2624268.0,312626,,-804691.0,-11.401988420199782,-2190561.0,-31.03893439312886,16.791602987022813,24.889613291577056
76,8802,三菱地所,3212764,18.6,1.3,1.7,1504687.0,26.1,20.4,7.6,278627.0,18.5,168432.0,11.2,7.0,30.4,43.8,107.3,97.7,1.4,200.8,7873537.0,299024.0,,,606993.0,199.2,4732912.0,4197843.0,3446547.0,3140398.0,2614021.0,2391264.0,144153,,-3898819.0,-49.51801204465033,-3147523.0,-39.97597267911486,60.11163724765629,53.31584775685947
77,8830,住友不動産,2584809,13.5,1.2,0.0,967692.0,34.3,24.0,8.0,254666.0,26.3,177171.0,18.3,8.2,32.5,54.3,140.0,137.3,1.7,123.7,6659371.0,70469.0,,,816291.0,469.0,4574934.0,3696406.0,3618662.0,3548193.0,2163062.0,2163062.0,43636,,-3625937.0,-54.44864087013623,-3548193.0,-53.28120328481474,68.69919095962666,55.5068339036825
78,9022,東海旅客鉄道,3184207,7.5,0.7,1.0,1831847.0,49.3,34.1,10.9,702794.0,38.4,458423.0,25.0,10.0,44.6,12.7,41.1,26.7,0.3,248.3,10323345.0,259468.0,,,41775.0,16.4,6058783.0,4882451.0,1308098.0,850730.0,4658550.0,4600536.0,159638,,-4622983.0,-44.78183185779416,-1048630.0,-10.157850967879114,58.6901144929284,47.295241997627706
79,9766,コナミG,2814168,40.2,5.9,0.7,360314.0,44.4,28.6,19.9,80262.0,22.3,59171.0,16.4,12.5,73.1,15.4,3.5,6.6,0.2,345.5,649714.0,285694.0,51095.0,51.8,14275.0,26.0,166566.0,68793.0,99800.0,185894.0,475265.0,475249.0,103061,15.0,216901.0,33.38407360777204,185894.0,28.611666056141626,25.636818661749633,10.588197268336529
80,1605,INPEX,2184422,6.6,0.5,4.9,2265837.0,59.6,28.9,5.9,1271789.0,56.1,427344.0,18.9,8.9,65.3,14.4,48.7,30.0,0.2,163.1,7380863.0,241675.0,267476.0,43.1,67241.0,26.8,28864.0,1709366.0,1063911.0,655836.0,5137833.0,4821806.0,645758,1.6,-1467691.0,-19.8850866084359,-822236.0,-11.140106515999552,0.3910653808369021,23.159432711323866
81,1928,積水ハウス,2130935,9.2,1.1,4.4,4058583.0,19.4,1.5,11.2,331366.0,8.2,217705.0,5.4,11.1,40.8,38.4,86.7,68.4,0.9,238.6,4808848.0,390559.0,2580.0,0.2,31862.0,3.6,534240.0,1234601.0,1847083.0,1456524.0,2018599.0,1962201.0,13808,0.3,-844042.0,-17.5518544150283,-1456524.0,-30.28841834884363,11.109521448796054,25.673529294334113
82,2503,キリンHD,1739057,11.6,1.5,3.4,2338385.0,45.6,10.4,36.6,125340.0,5.4,58214.0,2.5,4.9,35.2,25.6,49.3,42.0,0.7,139.9,3354159.0,118617.0,502880.0,78.5,358985.0,103.0,674028.0,1076380.0,857569.0,730382.0,1533714.0,1181525.0,62260,5.0,-957763.0,-28.55449011212647,-738952.0,-22.030917437128057,20.095290652589814,32.090905648778126
83,4091,本酸素HD,1969493,20.4,2.0,0.0,1255081.0,40.7,17.2,27.6,172041.0,13.7,105901.0,8.4,10.6,40.3,65.8,82.6,75.7,1.6,122.1,2473623.0,123734.0,263989.0,76.8,110238.0,54.1,932558.0,982113.0,1627736.0,1490410.0,1037772.0,997042.0,97634,0.4,-858379.0,-34.70128633182987,-1504002.0,-60.80158536688898,37.700086068087174,39.703422874059626
84,4507,塩野義製薬,2090134,12.2,1.6,0.0,410073.0,92.1,37.6,24.3,153310.0,37.4,162030.0,39.5,12.0,88.7,1.5,1.1,27.2,0.0,763.6,1516585.0,305579.0,144006.0,128.2,67940.0,430.5,110554.0,45460.0,23057.0,568525.0,1362606.0,1345590.0,126017,25.0,260119.0,17.15162684584115,282522.0,18.628827266523142,7.28966724581873,2.9975240425033878
